75.5 NA
221.52666666666667 NA
353.7181818181818 405.6
494.3818181818182 519.8947368421053
625.7258064516129 679.0795454545455
773.4925373134329 819.8313253012049
927.1111111111111 964.1304347826087
1061.907894736842 1111.2432432432433
1210.2375 1253.5714285714287
1354.2417582417581 1400.8305084745762
1497.0449438202247 1540.3934426229507
1645.3563218390805 1712.3333333333333
1788.8977272727273 1853.483870967742
1927.8651685393259 2001.2295081967213
2066.9058823529413 2150.5384615384614
2211.975 2292.1
2358.1046511627906 2436.3125
2500.2727272727275 2580.8548387096776
2644.7303370786517 2736.5737704918033
